count,word,rank
17,wanted,370.5
17,tedious,370.5
17,see,370.5
17,actually,370.5
17,came,370.5
17,listen,370.5
17,called,370.5
17,favorite,370.5
17,extra,370.5
17,went,370.5
17,supposed,370.5
17,cause,370.5
17,generally,370.5
17,nice,370.5
17,hardly,370.5
17,impatient,370.5
17,start,370.5
17,pressure,370.5
17,anyone,370.5
17,hr,370.5
16,absolutely,389.0
16,vacation,389.0
16,literally,389.0
16,register,389.0
16,entire,389.0
16,smelling,389.0
16,30,389.0
16,required,389.0
16,speak,389.0
16,availability,389.0
16,4,389.0
16,super,389.0
16,old,389.0
16,downside,389.0
16,weird,389.0
16,in,389.0
16,fact,389.0
15,used,406.5
15,ridiculous,406.5
15,paying,406.5
15,1,406.5
15,properly,406.5
15,left,406.5
15,rather,406.5
15,stupid,406.5
15,better,406.5
15,within,406.5
15,trash,406.5
15,cook,406.5
15,seems,406.5
15,sure,406.5
15,5,406.5
15,that,406.5
15,turn,406.5
15,period,406.5
14,quite,426.0
14,complaining,426.0
14,away,426.0
14,past,426.0
14,hired,426.0
14,overnight,426.0
14,clock,426.0
14,closing,426.0
14,menu,426.0
14,limited,426.0
14,asked,426.0
14,upset,426.0
14,etc,426.0
14,daily,426.0
14,seem,426.0
14,receive,426.0
14,follow,426.0
14,ethic,426.0
14,standard,426.0
14,tiring,426.0
14,manage,426.0
13,mood,452.0
13,set,452.0
13,8,452.0
13,peak,452.0
13,leadership,452.0
13,starting,452.0
13,said,452.0
13,human,452.0
13,organization,452.0
13,exhausting,452.0
13,7,452.0
13,grow,452.0
13,insurance,452.0
13,wait,452.0
13,treatment,452.0
13,understanding,452.0
13,employer,452.0
13,leaving,452.0
13,incompetent,452.0
13,blame,452.0
13,mostly,452.0
13,college,452.0
13,thru,452.0
13,fault,452.0
13,system,452.0
13,stuff,452.0
13,half,452.0
13,incentive,452.0
13,walk,452.0
13,disgusting,452.0
13,including,452.0
12,slack,483.5
12,procedure,483.5
12,drunk,483.5
12,chaotic,483.5
12,responsibility,483.5
12,easy,483.5
12,review,483.5
12,basically,483.5
12,policy,483.5
12,skin,483.5
12,kid,483.5
12,hand,483.5
12,growth,483.5
12,might,483.5
12,understand,483.5
12,play,483.5
12,calling,483.5
12,cream,483.5
12,ice,483.5
12,probably,483.5
12,boss,483.5
12,recommend,483.5
12,barely,483.5
12,20,483.5
12,workplace,483.5
12,staffing,483.5
12,point,483.5
12,load,483.5
12,guess,483.5
12,power,483.5
12,behind,483.5
12,instead,483.5
11,unrealistic,518.5
11,workload,518.5
11,lost,518.5
11,worse,518.5
11,together,518.5
11,hurt,518.5
11,close,518.5
11,request,518.5
11,couple,518.5
11,performance,518.5
11,number,518.5
11,add,518.5
11,disrespect,518.5
11,fastpaced,518.5
11,didnt,518.5
11,managment,518.5
11,cent,518.5
11,don’t,518.5
11,tend,518.5
11,moving,518.5
11,check,518.5
11,hiring,518.5
11,support,518.5
11,unpleasant,518.5
11,rest,518.5
11,at,518.5
11,public,518.5
11,12,518.5
11,outside,518.5
11,communicate,518.5
11,duty,518.5
11,taken,518.5
11,down,518.5
11,inconsiderate,518.5
11,sad,518.5
11,decent,518.5
11,impossible,518.5
11,meet,518.5
10,cost,558.0
10,increase,558.0
10,definitely,558.0
10,available,558.0
10,sit,558.0
10,plan,558.0
10,inconsistent,558.0
10,putting,558.0
10,changing,558.0
10,proper,558.0
10,abusive,558.0
10,badly,558.0
10,specific,558.0
10,english,558.0
10,to,558.0
10,however,558.0
10,burn,558.0
